Geneid	/home/ubuntu/reprohackathon/results/BAM/SRR10379721.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379722.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379723.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379724.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379725.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379726.bam
gene-SAOUHSC_00219	989	549	535	439	467	176
gene-SAOUHSC_00220	893	889	494	2487	3803	1234
gene-SAOUHSC_00221	1421	1275	843	3474	4411	530
gene-SAOUHSC_A00219	40	10	22	6	3	0
gene-SAOUHSC_00222	2779	2161	1830	4934	6923	1166
gene-SAOUHSC_00223	2045	1691	1140	1672	2620	347
gene-SAOUHSC_00225	2882	2321	1918	3058	3296	522
gene-SAOUHSC_00226	6520	5013	4756	6413	9212	1305
gene-SAOUHSC_00227	14988	11332	11812	12789	20247	2366
gene-SAOUHSC_00228	33046	26017	27079	21430	32463	6675
gene-SAOUHSC_00229	708	487	480	1601	3801	503
gene-SAOUHSC_00230	992	840	662	5246	7405	1083
gene-SAOUHSC_00231	210	130	118	553	975	70
gene-SAOUHSC_00232	127	194	119	339	2325	177
gene-SAOUHSC_00233	855	975	531	1055	4928	1696
gene-SAOUHSC_00234	1348	1043	913	790	994	64
gene-SAOUHSC_00235	633	367	355	122	244	17
gene-SAOUHSC_00236	1029	736	651	209	322	102
gene-SAOUHSC_00237	169	117	87	134	181	18
gene-SAOUHSC_00238	38	15	28	12	14	2
gene-SAOUHSC_00239	2470	2223	1237	1819	3587	941
gene-SAOUHSC_00240	977	913	544	708	1677	129
gene-SAOUHSC_00241	1987	1781	999	1413	1744	848
gene-SAOUHSC_00242	890	811	589	1757	2153	554
gene-SAOUHSC_00243	216	70	152	65	43	0
gene-SAOUHSC_00244	946	555	867	310	409	16
gene-SAOUHSC_00245	89	74	49	75	78	22
gene-SAOUHSC_00246	2559	2207	1388	1543	1257	137
gene-SAOUHSC_00247	802	602	521	481	745	122
gene-SAOUHSC_00248	1715	1530	1230	1143	1644	747
gene-SAOUHSC_00249	473	293	316	271	312	24
gene-SAOUHSC_00250	374	223	275	223	288	14
gene-SAOUHSC_00251	139	85	99	123	122	7
gene-SAOUHSC_00253	1878	1072	1497	645	663	32
gene-SAOUHSC_00254	86	60	71	79	57	3
gene-SAOUHSC_00255	458	239	332	178	196	22
gene-SAOUHSC_00256	1752	1258	1293	976	1199	412
gene-SAOUHSC_00257	4044	3753	2591	2299	2993	1722
gene-SAOUHSC_00258	3562	2724	2586	999	1064	83
gene-SAOUHSC_00259	641	370	504	132	113	7
gene-SAOUHSC_00260	12	12	11	6	7	0
gene-SAOUHSC_00261	214	115	136	101	124	5
gene-SAOUHSC_00262	1386	835	922	716	727	116
gene-SAOUHSC_00264	104	57	71	68	79	11
gene-SAOUHSC_00265	128	82	66	88	68	55
gene-SAOUHSC_00266	206	110	133	104	131	16
gene-SAOUHSC_00267	91	65	61	60	70	21
gene-SAOUHSC_00268	2169	1656	1504	2879	4227	1448
gene-SAOUHSC_00269	1389	934	996	3383	5160	502
gene-SAOUHSC_00270	174	109	134	294	452	50
gene-SAOUHSC_00271	126	67	54	208	353	29
gene-SAOUHSC_00272	1332	607	876	472	272	21
gene-SAOUHSC_00274	65	38	38	66	73	11
gene-SAOUHSC_00275	135	117	106	176	336	29
gene-SAOUHSC_00276	140	110	103	149	335	21
gene-SAOUHSC_00277	115	98	78	139	293	40
gene-SAOUHSC_00278	150	60	75	132	194	25
gene-SAOUHSC_00279	1926	1266	1620	606	772	52
gene-SAOUHSC_00280	2645	1569	2078	881	1028	199
gene-SAOUHSC_00281	661	508	505	2540	5209	925
gene-SAOUHSC_00282	9524	6250	4084	12459	13473	1710
gene-SAOUHSC_00284	551	303	353	342	421	41
gene-SAOUHSC_A00283	15	6	6	5	1	0
gene-SAOUHSC_00285	3844	4637	3083	7478	10582	1281
gene-SAOUHSC_00287	3842	4052	2842	6996	10358	2826
gene-SAOUHSC_00289	11	11	8	2	1	0
gene-SAOUHSC_00290	4399	3303	3358	4010	6279	1206
gene-SAOUHSC_00291	218	179	109	427	1066	100
gene-SAOUHSC_00292	402	317	250	541	1270	231
gene-SAOUHSC_00293	897	544	495	749	1207	150
gene-SAOUHSC_00294	3641	3753	2413	1731	1197	206
gene-SAOUHSC_00295	1841	2314	1336	1538	1113	192
gene-SAOUHSC_00296	1155	1062	837	1041	1773	517
gene-SAOUHSC_00297	1295	952	678	2292	3415	682
gene-SAOUHSC_00298	2639	2282	1774	1039	1239	276
gene-SAOUHSC_00299	469	302	286	423	859	59
gene-SAOUHSC_00300	71572	61913	51283	44259	60166	23473
gene-SAOUHSC_00301	1376	912	888	1491	1783	307
gene-SAOUHSC_00302	877	508	601	1087	1462	272
gene-SAOUHSC_00303	45	24	31	38	68	5
gene-SAOUHSC_00304	463	309	230	424	538	111
gene-SAOUHSC_00305	186	141	111	140	232	37
gene-SAOUHSC_00306	465	354	256	362	407	76
gene-SAOUHSC_00307	584	400	284	387	533	135
gene-SAOUHSC_00308	760	504	429	447	747	170
gene-SAOUHSC_00309	3325	3243	2075	8272	8933	3309
gene-SAOUHSC_00310	2257	2807	1571	2075	1471	320
gene-SAOUHSC_00311	316	499	254	425	266	108
gene-SAOUHSC_00312	568	833	378	736	404	87
gene-SAOUHSC_00313	1935	2976	1478	5669	2324	521
gene-SAOUHSC_00314	10072	8070	5897	4276	5000	513
gene-SAOUHSC_00315	5411	4438	3108	579	575	45
gene-SAOUHSC_00316	2112	1510	1375	350	401	29
gene-SAOUHSC_00317	4185	3142	2641	4055	9079	1856
gene-SAOUHSC_00318	841	845	751	1306	2485	585
gene-SAOUHSC_00319	2488	1982	2048	2497	4357	1460
gene-SAOUHSC_00320	1649	1237	1205	1265	2022	308
gene-SAOUHSC_00322	309	227	182	692	596	114
gene-SAOUHSC_00323	114	66	81	66	70	47
gene-SAOUHSC_00324	557	421	340	2937	7529	1211
gene-SAOUHSC_00325	284	154	167	233	584	29
gene-SAOUHSC_00326	646	448	463	319	730	225
gene-SAOUHSC_00327	1341	767	944	489	820	116
gene-SAOUHSC_00328	1479	1224	924	2772	5741	876
gene-SAOUHSC_00329	720	556	374	1390	3468	488
gene-SAOUHSC_00330	889	558	434	2082	5108	222
gene-SAOUHSC_00331	181	138	166	77	155	16
gene-SAOUHSC_00332	1249	865	1066	560	726	74
gene-SAOUHSC_00333	2688	1789	2262	988	1370	216
gene-SAOUHSC_00334	3743	2291	2896	2187	2622	265
gene-SAOUHSC_00335	780	480	545	1840	2485	99
gene-SAOUHSC_A00332	33	18	13	5	3	0
gene-SAOUHSC_00336	7670	7257	5503	11142	10398	3724
gene-SAOUHSC_00337	5957	3470	3546	2401	3278	945
gene-SAOUHSC_00338	10521	6209	6671	4355	8027	891
gene-SAOUHSC_00339	4444	2785	2901	2681	5273	784
gene-SAOUHSC_00340	1891	1373	1196	1668	3307	651
gene-SAOUHSC_00341	1538	1263	1134	2178	4169	464
gene-SAOUHSC_00342	443	316	292	1133	1537	270
gene-SAOUHSC_00344	1926	1670	1840	1469	2324	463
gene-SAOUHSC_00345	675	664	682	575	1176	63
gene-SAOUHSC_00346	5080	4501	4688	4356	6513	1231
gene-SAOUHSC_00347	41368	22138	29813	1564	833	27
gene-SAOUHSC_00348	48053	43875	43218	24321	30648	5373
gene-SAOUHSC_00349	81641	73995	77506	39328	48742	20459
gene-SAOUHSC_00350	39061	35721	37221	18293	23073	11696
gene-SAOUHSC_00351	242	174	212	379	728	43
gene-SAOUHSC_00352	114	85	86	139	305	67
gene-SAOUHSC_00353	83	83	79	117	238	23
gene-SAOUHSC_00354	1052	605	724	998	1608	112
gene-SAOUHSC_00355	169	117	141	98	258	10
gene-SAOUHSC_00356	16021	16577	12232	59001	72463	14365
gene-SAOUHSC_00357	3078	2050	1758	3493	6016	304
gene-SAOUHSC_00358	27004	28585	14522	107767	124452	77150
gene-SAOUHSC_A00354	47	28	43	10	10	1
gene-SAOUHSC_00359	845	612	672	332	525	54
gene-SAOUHSC_00360	486	431	357	939	1355	156
gene-SAOUHSC_00362	2155	1385	1652	1865	2601	244
gene-SAOUHSC_00363	149	105	96	433	455	10
gene-SAOUHSC_00364	88622	77242	60476	32175	55478	10162
gene-SAOUHSC_00365	32939	29387	23412	15611	29047	4203
gene-SAOUHSC_00366	5783	5210	5223	4730	5085	1758
gene-SAOUHSC_00367	16734	11307	14536	1534	1465	647
gene-SAOUHSC_00368	84	57	51	39	46	6
gene-SAOUHSC_00369	12304	8450	9535	9104	11174	3973
gene-SAOUHSC_00370	4120	3989	2768	9052	14573	1332
gene-SAOUHSC_00371	11127	10618	5995	22618	22015	2820
gene-SAOUHSC_00372	1214	550	977	1591	2093	320
gene-SAOUHSC_00373	4024	2384	3155	4258	6006	1460
gene-SAOUHSC_00374	10654	7286	8698	15754	28180	8805
gene-SAOUHSC_00375	16417	10585	12509	23266	34490	10865
gene-SAOUHSC_00376	710	545	587	347	486	29
gene-SAOUHSC_00377	172	127	153	118	127	7
gene-SAOUHSC_00378	64	37	68	17	26	1
gene-SAOUHSC_00380	100	58	105	147	204	17
gene-SAOUHSC_00381	387	277	257	256	355	27
gene-SAOUHSC_00382	854	657	550	578	789	101
gene-SAOUHSC_00383	1723	1457	1323	783	1153	109
gene-SAOUHSC_00384	541	361	321	241	301	46
gene-SAOUHSC_00386	578	376	492	176	234	46
gene-SAOUHSC_00387	2	4	1	1	1	0
gene-SAOUHSC_00389	187	125	120	123	148	24
gene-SAOUHSC_00390	411	201	251	157	158	4
gene-SAOUHSC_A00379	34	21	37	11	5	0
gene-SAOUHSC_00391	382	233	235	152	210	39
gene-SAOUHSC_00392	605	352	466	411	465	37
gene-SAOUHSC_00393	358	174	206	161	171	14
gene-SAOUHSC_00394	287	163	232	147	183	11
gene-SAOUHSC_00395	707	397	575	334	492	14
gene-SAOUHSC_00396	54	26	30	17	23	0
gene-SAOUHSC_00397	652	440	402	1961	1992	660
gene-SAOUHSC_00398	379	247	305	685	817	276
gene-SAOUHSC_00399	160	148	105	175	218	9
gene-SAOUHSC_00400	1197	903	727	882	1067	192
gene-SAOUHSC_00401	6660	5054	3318	4407	3337	308
gene-SAOUHSC_00402	163	105	148	213	305	24
gene-SAOUHSC_00404	313	217	310	278	323	52
gene-SAOUHSC_00405	660	404	607	864	1406	134
gene-SAOUHSC_00406	1646	1010	1304	1791	2011	301
gene-SAOUHSC_00407	593	379	501	599	940	64
gene-SAOUHSC_00408	647	425	506	620	846	120
gene-SAOUHSC_00409	949	426	768	277	456	25
gene-SAOUHSC_00410	6344	4679	4372	447	656	106
gene-SAOUHSC_00411	75	70	41	12	17	2
gene-SAOUHSC_00412	2922	2826	1710	8995	10068	2457
gene-SAOUHSC_00413	10612	11043	6124	29186	38481	15298
gene-SAOUHSC_00414	3175	2501	1954	7253	8880	1467
gene-SAOUHSC_00415	56	36	55	39	42	1
gene-SAOUHSC_00416	2009	1605	1296	1904	2630	225
gene-SAOUHSC_00417	3754	2773	2614	3296	3867	531
gene-SAOUHSC_00418	71	70	49	33	43	12
gene-SAOUHSC_00420	7644	4378	4343	11114	16654	2892
gene-SAOUHSC_00421	3107	1964	2786	111	152	47
gene-SAOUHSC_00422	13686	7465	12126	371	373	72
gene-SAOUHSC_00423	3186	2156	2953	852	1629	176
gene-SAOUHSC_00424	1698	1137	1604	281	559	93
gene-SAOUHSC_00426	6800	3919	5863	922	2391	136
gene-SAOUHSC_00427	2619	2373	3170	12705	14444	6595
gene-SAOUHSC_00428	1864	1061	1401	1098	774	18
gene-SAOUHSC_00429	499	425	399	579	752	156
gene-SAOUHSC_00430	2499	1764	1817	1775	2289	936
gene-SAOUHSC_00431	2638	1556	2164	712	1334	137
gene-SAOUHSC_00433	1395	836	1036	938	1793	383
gene-SAOUHSC_00434	309	222	194	264	350	37
gene-SAOUHSC_00435	16005	9902	20143	85281	124553	28725
gene-SAOUHSC_00436	13706	8402	16904	34910	43395	12619
gene-SAOUHSC_T00048	4322	2846	3479	2270	1327	933
gene-SAOUHSC_00437	8384	14833	8307	6573	7357	1767
